sec,stnew,strm,grp,sstrm,bstrm,Bstrm_name
1,8,26,2,1,D031,Jhalawar
2,8,27,9,1,D031,Jhalawar
2,33,203,9,1,D031,Coimbatore
1,10,25,2,1,D032,Rohtas
1,10,25,2,2,D032,Rohtas
1,10,25,2,3,D032,Rohtas
1,33,25,2,1,D032,Tiruppur
2,10,25,9,1,D032,Rohtas
2,33,25,9,1,D032,Tiruppur
2,33,25,9,2,D032,Tiruppur
1,8,27,2,1,D032,Udaipur
1,8,27,2,2,D032,Udaipur
1,8,27,2,3,D032,Udaipur
2,8,28,9,1,D032,Udaipur
1,23,29,2,1,D032,Narmadapuram
2,23,29,9,1,D032,Narmadapuram
1,24,23,2,1,D033,Morbi
2,24,23,9,1,D033,Morbi
1,10,26,2,1,D033,Aurangabad
1,10,26,2,2,D033,Aurangabad
1,10,26,2,3,D033,Aurangabad
1,33,26,2,1,D033,Chengalpattu
2,10,26,9,1,D033,Aurangabad
2,33,26,9,1,D033,Chengalpattu
2,33,26,9,2,D033,Chengalpattu
1,23,30,2,1,D033,Katni
1,23,30,2,2,D033,Katni
2,23,30,9,1,D033,Katni
1,9,31,2,1,D033,Kanpur Nagar
1,9,31,2,2,D033,Kanpur Nagar
2,9,205,9,1,D033,Kanpur Nagar
2,9,205,9,2,D033,Kanpur Nagar
2,9,205,9,3,D033,Kanpur Nagar
1,27,22,2,1,D034,Kolhapur
1,27,22,2,2,D034,Kolhapur
1,27,22,2,3,D034,Kolhapur
2,27,22,9,1,D034,Kolhapur
2,27,22,9,2,D034,Kolhapur
1,10,27,2,1,D034,Gaya
1,10,27,2,2,D034,Gaya
1,10,27,2,3,D034,Gaya
1,10,27,2,4,D034,Gaya
2,10,27,9,1,D034,Gaya
1,23,31,1,1,D034,Jabalpur
1,23,31,2,1,D034,Jabalpur
1,9,32,2,1,D034,Jalaun
1,9,32,2,2,D034,Jalaun
2,9,32,9,1,D034,Jalaun
2,23,204,9,1,D034,Jabalpur
2,23,204,9,2,D034,Jabalpur
1,27,23,2,1,D035,Sangli
1,27,23,2,2,D035,Sangli
1,27,23,2,3,D035,Sangli
2,27,23,9,1,D035,Sangli
1,33,27,2,1,D035,Ranipet
2,33,27,9,1,D035,Ranipet
